task_id,task,framework,fold,task_type,type,acc,auc,logloss,score
3,kr-vs-kp,AutoCompBoost not tuned,1,binary,auc,0.9625,0.995460060271614,,0.995460060271614
3,kr-vs-kp,AutoCompBoost not tuned,2,binary,auc,0.953125,0.992876991115807,,0.992876991115807
3,kr-vs-kp,AutoCompBoost not tuned,3,binary,auc,0.959375,0.994070682165082,,0.994070682165082
3,kr-vs-kp,AutoCompBoost not tuned,4,binary,auc,0.971875,0.996516770380807,,0.996516770380807
3,kr-vs-kp,AutoCompBoost not tuned,5,binary,auc,0.96875,0.995460060271614,,0.995460060271614
3,kr-vs-kp,AutoCompBoost not tuned,6,binary,auc,0.965625,0.996477632969355,,0.996477632969355
3,kr-vs-kp,AutoCompBoost not tuned,7,binary,auc,0.946708463949843,0.988188046302859,,0.988188046302859
3,kr-vs-kp,AutoCompBoost not tuned,8,binary,auc,0.959247648902821,0.992298298140561,,0.992298298140561
3,kr-vs-kp,AutoCompBoost not tuned,9,binary,auc,0.968652037617555,0.996533249290892,,0.996533249290892
3,kr-vs-kp,AutoCompBoost not tuned,10,binary,auc,0.974921630094044,0.993401355184368,,0.993401355184368
31,credit-g,AutoCompBoost not tuned,1,binary,auc,0.73,0.726666666666667,,0.726666666666667
31,credit-g,AutoCompBoost not tuned,2,binary,auc,0.74,0.785238095238095,,0.785238095238095
31,credit-g,AutoCompBoost not tuned,3,binary,auc,0.7,0.687619047619048,,0.687619047619048
31,credit-g,AutoCompBoost not tuned,4,binary,auc,0.69,0.744285714285714,,0.744285714285714
31,credit-g,AutoCompBoost not tuned,5,binary,auc,0.73,0.74952380952381,,0.74952380952381
31,credit-g,AutoCompBoost not tuned,6,binary,auc,0.77,0.817142857142857,,0.817142857142857
31,credit-g,AutoCompBoost not tuned,7,binary,auc,0.77,0.79,,0.79
31,credit-g,AutoCompBoost not tuned,8,binary,auc,0.72,0.862857142857143,,0.862857142857143
31,credit-g,AutoCompBoost not tuned,9,binary,auc,0.73,0.765714285714286,,0.765714285714286
31,credit-g,AutoCompBoost not tuned,10,binary,auc,0.7,0.75047619047619,,0.75047619047619
